Municípios,Densidade Empresarial,Renda,Educação,Valores Solidários - programas e ações,Tecido Social,Tecido Empresarial,Articulação,Gestão Pública,Participação e Controle Social,Vantagens Locais,Organização Produtiva,Comércio Internacional
Adamantina,0.292111732,0.709370632,0.844012334,0.571428571,0.003483054,0,0.5,0.695181259,0.404761905,0.439765106,0.491474746,0.06779201
Adolfo,0.294667036,0.623339093,0.801919983,0,0.000656737,0,0,0.53366364,0.374047619,0.413951678,0.35241778,0.06779201
Aguaí,0.282476453,0.594758686,0.771490967,0,0.001219655,0.002001601,0,0.326012184,0.400238095,0.344831719,0.500990279,0.06779201
Águas da Prata,0.270997105,0.671739483,0.826816933,0,0.000258004,0,0.083333333,0.787747061,0.367142857,0.424545005,0.474747699,0.06779201
Águas de Lindóia,0.435083982,0.647600937,0.791000547,0,0.000609828,0.00020016,0.25,0.662080936,0.362301587,0.40069632,0.46135181,0.06779201
Águas de Santa Bárbara,0.388349527,0.654866516,0.819653647,0,0.0000235,0,0.75,0.642608671,0.542142857,0.398232374,0.419053549,0.06779201
Águas de São Pedro,0.586233504,0.876034202,0.939772526,0.571428571,0.000985106,0,0.166666667,0.699064817,0.417142857,0.613215041,0.446190018,0.06779201
Agudos,0.309981263,0.598214033,0.828578124,0.571428571,0.002791134,0,0,0.570822746,0.463015873,0.399806092,0.494136118,0.093420983
Alambari,0.206950669,0.569713147,0.762388783,0,0.000281459,0,0,0.786732194,0.311269841,0.320720749,0.474017887,0.06779201
Alfredo Marcondes,0.228440057,0.589000055,0.782710559,0,0.0000352,0,0.083333333,0.449275054,0.324206349,0.39910528,0.33439415,0.096970941
Altair,0.261540828,0.599310281,0.732156541,0,0,0,0,0.558737386,0.194047619,0.360327662,0.372106528,0.06779201
Altinópolis,0.425177092,0.645023523,0.776380419,0,0.001102381,0,0.25,0.704771034,0.551111111,0.400027095,0.457416481,0.06779201
Alto Alegre,1,0.596045993,0.749856212,0,0.0000352,0,0.166666667,0.347357054,0.273888889,0.362588747,0.461498884,0.06779201
Alumínio,0.174239099,0.630688329,0.867447439,0,0.000422188,0,0,0.172648123,0.478174603,0.378398188,0.233352601,0.089869357
Álvares Florence,0.328038451,0.616260367,0.773034698,0,0.0000117,0,0.083333333,0.648545523,0.310079365,0.390482834,0.384952026,0.06779201
Álvares Machado,0.242999576,0.613661524,0.811469909,0,0.001548024,0,0,0.523433919,0.437857143,0.350056619,0.481001136,0.09946016
Álvaro de Carvalho,0.095845475,0.577791942,0.748104783,0,0.0000117,0,0,0.389975375,0.441111111,0.314113991,0.421484065,0.06779201
Alvinlândia,0.245800137,0.623599394,0.809880233,0,0,0,0.166666667,0.319193855,0.470238095,0.368682615,0.373656115,0.06779201
Americana,0.321848643,0.764695909,0.867378547,0.714285714,0.011164536,0.002401922,0.25,0.711827717,0.627936508,0.462210998,0.601523969,0.138477848
Américo Brasiliense,0.190914968,0.620985728,0.807897038,0,0.000621555,0.000800641,0,0.745728642,0.502857143,0.390838539,0.422262189,0.111292814
